n2133fo;Shadow Hero’s Everyday Life
n4452ge;Ore dake Level Agaru Sekai de Akutoku Ryōshu ni Natteita
n7671do;Lonely Attack on the Different World (WN)
n4464fx;Maou Reijou no Kyouiku Gakari
n0646fx;It’s Not That I Like Using a Blunt Weapon!
n1267ew;My First Trip was to Another World
n6022cs;Will the Re-Summoned Hero Live as an Ordinary Person
1177354054883233994;I Was Summoned to a Parallel Fantasy World for Too Many Times
n8356ga;Silent witch 
n0447ca;Isekai Cheat Magic Swordsman
1177354054884503755;Karate Baka Isekai
n3581fh;I Woke Up Piloting the Strongest Starship, so I Became a Space Mercenary
n6583ct;Sword Saint’s Disciple
n0955gd;(mtl) Taking care of a talented woman-At a prestigious school full of flowers in Takamine, I will take care of the young lady of the academy (no living ability)- 
n2367fm;(mtl) The weakest incompetence reaches the throne-The fall of human society, becoming a subhuman genus-
n3465dn;(mtl) Glittering Hero 
n7848gp;(mtl) A hero Tan who starts with a network cheat-The king made a fool of him as a "waist purse" and was banished from the brave party, so he decided to adventure with his friends in another country. It seems that the brave party is out of control and rampaging, but I don't know ~ 
n1579gp;Tan after the labyrinth killing-The strongest explorer who was banished from the guild without revealing his identity, retired and become an instructor at a dungeon driving school, worshiped by his students 
n18n5291fa;Isekai NTR – Having a Secret Harem
n6073cm;GM has logged in to another world
n9669ct;I Was Naked When I Reached the Other World
n8925cq;Cheat Majutsu de Unmei wo Nejifuseru
n4553db;ReBirth ~ From the Upper World to the Lower World
n2650bx;I Kinda Came to Another World, but Where’s the Way Home?
n1132dk;ujutsushi Wa Yuusha Ni Narenai
n8418ff;Orc Eiyuu Monogatari Sontaku Retsuden
n2166fe;Yume Miru Danshi wa Genjitsushugisha
n4814fw;The Gloomy Me in Class is Actually the Vocalist of a Very Popular Band
n9759gl;Even If She’s the Demon King’s Daughter, She’ll Betray Him Because the Hero’s Party is Yuri Heaven!
n1456gm;I’m The Only Multilingual Master a Russian Transfer Girl Student Who Can’t Speak Japanese Can Rely On
n9289fr;The Noble Girl Who Finds a Nerdy and Plain Guy Moe Thinks that the Arrogant Prince is In the Way
n6912eh;My Skills Are Too Strong to Be a Heroine
n3352gq;A Genius Healer Who Can Treat Instantly but Was Banished From Party Considered Doing Nothing ~ Even if They Told Him to Come Back Now, He Is Now Having Fun as a Dark Healer Now, So the Treatment Will Be Expensive, but Can You Pay for It? ~
n18n6669dp;Reincarnated as an Elf Magic Swordsman: Paving a Path to His Peerless Harem
n3851gr;Beyond saving the world-A different world of heroes and useless angels- 
n9517fc;Blunt Type Ogre Girl’s Way to Live Streaming
n6526gb;Inkya no Boku ni Batsu Game ni Kokuhaku Shitekita Hazu no Gyaru ga, Doumitemo Boku ni Betahore Desu
n0934ft;The World's Strongest Beastmaster
